strategy,target_r,trades,win_rate,breakeven_wr,edge_pp,pf,exp_r
fair_value_gap,1.0,50521,50.36,50.0,0.4,0.846,-0.0943
fair_value_gap,1.5,47540,41.71,40.0,1.7,0.881,-0.0866
fair_value_gap,2.0,45165,36.9,33.3,3.6,0.894,-0.0822
fair_value_gap,2.5,43318,34.02,28.6,5.4,0.9,-0.0824
fair_value_gap,3.0,42094,32.33,25.0,7.3,0.905,-0.0795
liquidity_sweep,1.0,1045,47.66,50.0,-2.3,0.923,-0.0279
liquidity_sweep,1.5,1045,44.98,40.0,5.0,0.961,-0.0143
liquidity_sweep,2.0,1045,43.44,33.3,10.1,0.941,-0.0225
liquidity_sweep,2.5,1045,43.16,28.6,14.6,0.964,-0.0134
liquidity_sweep,3.0,1045,43.06,25.0,18.1,0.982,-0.0061
order_block,1.0,25936,47.82,50.0,-2.2,0.734,-0.1663
order_block,1.5,24702,39.74,40.0,-0.3,0.777,-0.1602
order_block,2.0,23688,34.84,33.3,1.5,0.798,-0.1582
order_block,2.5,22984,31.96,28.6,3.4,0.812,-0.1537
order_block,3.0,22438,30.27,25.0,5.3,0.824,-0.1481
failed_breakout,1.0,64270,48.4,50.0,-1.6,0.809,-0.1092
failed_breakout,1.5,60134,40.24,40.0,0.2,0.815,-0.1182
failed_breakout,2.0,58729,36.85,33.3,3.5,0.829,-0.1145
failed_breakout,2.5,57802,35.42,28.6,6.8,0.835,-0.111
failed_breakout,3.0,56952,34.78,25.0,9.8,0.842,-0.109
donchian_breakout,1.0,35766,51.29,50.0,1.3,0.947,-0.0269
donchian_breakout,1.5,30441,43.25,40.0,3.2,0.971,-0.0164
donchian_breakout,2.0,27568,39.46,33.3,6.1,0.979,-0.0113
donchian_breakout,2.5,25961,37.97,28.6,9.4,1.001,0.0018
donchian_breakout,3.0,24965,37.18,25.0,12.2,1.013,0.0098
vol_expansion,1.0,28748,51.45,50.0,1.5,0.953,-0.025
vol_expansion,1.5,25910,43.6,40.0,3.6,0.971,-0.0186
vol_expansion,2.0,24185,40.39,33.3,7.1,0.99,-0.0067
vol_expansion,2.5,23164,38.83,28.6,10.3,1.003,0.0013
vol_expansion,3.0,22482,38.31,25.0,13.3,1.019,0.0103
keltner_trend,1.0,33678,51.66,50.0,1.7,0.971,-0.0138
keltner_trend,1.5,28226,44.0,40.0,4.0,0.999,0.0007
keltner_trend,2.0,25400,40.47,33.3,7.1,1.01,0.0071
keltner_trend,2.5,23847,38.99,28.6,10.4,1.025,0.0155
keltner_trend,3.0,22962,38.21,25.0,13.2,1.031,0.0202
momentum_persistence,1.0,19369,48.46,50.0,-1.5,0.917,-0.0342
momentum_persistence,1.5,19259,44.9,40.0,4.9,0.955,-0.0199
momentum_persistence,2.0,19236,43.88,33.3,10.5,0.983,-0.0075
momentum_persistence,2.5,19213,43.53,28.6,15.0,0.997,-0.0009
momentum_persistence,3.0,19184,43.41,25.0,18.4,1.007,0.0037
opening_range,1.0,26572,50.2,50.0,0.2,0.785,-0.1284
opening_range,1.5,26464,41.22,40.0,1.2,0.846,-0.1083
opening_range,2.0,26306,35.2,33.3,1.9,0.877,-0.0951
opening_range,2.5,26085,31.1,28.6,2.5,0.89,-0.0886
opening_range,3.0,25887,28.39,25.0,3.4,0.897,-0.0854
squeeze_breakout,1.0,27341,51.1,50.0,1.1,0.87,-0.0721
squeeze_breakout,1.5,25119,42.13,40.0,2.1,0.912,-0.058
squeeze_breakout,2.0,24047,36.95,33.3,3.6,0.927,-0.0512
squeeze_breakout,2.5,23539,34.23,28.6,5.7,0.939,-0.0433
squeeze_breakout,3.0,23192,32.51,25.0,7.5,0.94,-0.0428
